indicator,estimateBafatá,estimateBiombo,estimateBolama_Bijagós,estimateCacheu,estimateGabú,estimateOio,estimateQuinara,estimateSAB,estimateTombali
Poor at $4.20/day (2021 PPP),0.75,0.75,0.71999999999999997,0.69000000000000006,0.79000000000000004,0.85999999999999999,0.84999999999999998,0.20999999999999999,0.77000000000000002
Prepaid meter (among grid-connected),0.5,0.60999999999999999,0,0.19,0.19,0.19,0,0.65000000000000002,
Primary cooking fuel biomass (wood/charcoal),0.98999999999999999,0.97999999999999998,1,0.98999999999999999,0.98999999999999999,1,0.98999999999999999,0.94000000000000006,1
Primary cooking fuel clean (gas/electricity),0.01,0.01,0,0.01,0,0,0,0.050000000000000003,0
Proxy: owns gas/electric cooker (cuisin),0.01,0.029999999999999999,0.01,0.01,0.01,0.01,0.01,0.13,0
Safe drinking water – dry season,0.70000000000000007,0.58999999999999997,0.57999999999999996,0.75,0.78000000000000003,0.57000000000000006,0.67000000000000004,0.95999999999999996,0.5
Sanitary toilet facility,0.16,0.16,0.10000000000000001,0.20000000000000001,0.14999999999999999,0.070000000000000007,0.050000000000000003,0.57000000000000006,0.11
Share of HH workers in trade/commerce,0.080000000000000002,0.12,0.080000000000000002,0.089999999999999997,0.10000000000000001,0.070000000000000007,0.080000000000000002,0.26000000000000001,0.040000000000000001
Share of HH workers in transport,0.02,0.029999999999999999,0.01,0.029999999999999999,0.02,0.02,0,0.059999999999999998,0
Share of HH workers informally employed,0.90000000000000002,0.75,0.78000000000000003,0.80000000000000004,0.83999999999999997,0.81000000000000005,0.90000000000000002,0.47000000000000003,0.92000000000000004
Tropical Livestock Units (TLU),5.0899999999999999,1.0800000000000001,1.24,1.8200000000000001,4.6299999999999999,3.5500000000000003,2.3100000000000001,0.13,2.3500000000000001
Uses grid electricity,0.059999999999999998,0.13,0.040000000000000001,0.050000000000000003,0.050000000000000003,0.040000000000000001,0.01,0.80000000000000004,0
Uses solar/generator electricity,0.70999999999999996,0.37,0.44,0.54000000000000004,0.70000000000000007,0.65000000000000002,0.71999999999999997,0.040000000000000001,0.69000000000000006
Wage-employed (% of employed),0.089999999999999997,0.22,0.20000000000000001,0.17000000000000001,0.14000000000000001,0.17000000000000001,0.059999999999999998,0.52000000000000002,0.070000000000000007
wood_dist [ALL MISSING],,,,,,,,,
≥1 HH member has health coverage (proxy social protection),0,0,0,0,0,0,0,0.029999999999999999,0
