indicator,estimateTotal,estimateCapital,estimateOther_Urban,estimateRural,estimateFemale_HH,estimateMale_HH,estimateYouth_HH,estimateOlder_HH,estimateQ1,estimateQ2,estimateQ3,estimateQ4,estimateQ5
HE has phone,0.98999999999999999,0.95000000000000007,0.98999999999999999,0.97999999999999998,0.97999999999999998,0.98999999999999999,0.98999999999999999,0.98999999999999999,0.98999999999999999,0.95000000000000007,1,1,0.98999999999999999
HE has tax ID,0.080000000000000002,0.050000000000000003,0.10000000000000001,0.040000000000000001,0.080000000000000002,0.080000000000000002,0.070000000000000007,0.080000000000000002,0,0.070000000000000007,0.080000000000000002,0.14999999999999999,0.070000000000000007
HE has water,0.35000000000000003,0,0.37,0,1,0.27000000000000002,1,0.32000000000000001,,1,0,0.73999999999999999,0.089999999999999997
HE keeps accounts,0.050000000000000003,0.02,0.070000000000000007,0.02,0,0.059999999999999998,0.040000000000000001,0.050000000000000003,0.040000000000000001,0.029999999999999999,0,0.070000000000000007,0.080000000000000002
HE operates from home,0.57999999999999996,0.59999999999999998,0.56000000000000005,0.62,0.62,0.56000000000000005,0.64000000000000001,0.57000000000000006,0.67000000000000004,0.48999999999999999,0.59999999999999998,0.55000000000000004,0.57999999999999996
HE pays rent,1,1,1,1,1,1,1,1,,1,1,1,1
HE profits (FCFA),4463.6099999999997,1684.51,7917.1000000000004,1216.8500000000001,3152.54,4805.1900000000005,6915.8299999999999,4045.5599999999999,756.27999999999997,3182.2200000000003,2703.5,4321.1499999999996,9861.8400000000001
HE revenue per worker (FCFA),202208.48000000001,,202208.48000000001,,2375,212554.64000000001,440710.91999999998,111984.42,,,,29948.580000000002,333622.57000000001
HE sells to firms/state,0.070000000000000007,0.059999999999999998,0.080000000000000002,0.050000000000000003,0.14999999999999999,0.050000000000000003,0.040000000000000001,0.080000000000000002,0.089999999999999997,0.059999999999999998,0.050000000000000003,0.13,0.040000000000000001
HH cultivates agricultural land (superf > 0),0.65000000000000002,0.88,0.22,0.95000000000000007,0.41000000000000003,0.70000000000000007,0.63,0.65000000000000002,0.91000000000000003,0.81000000000000005,0.68000000000000005,0.51000000000000001,0.33000000000000002
HH employees in HE,0,0,0,0,0,0,0,0,0,0,0,0,0
HH has 0 HE,0.41000000000000003,0.41999999999999998,0.29999999999999999,0.52000000000000002,0.37,0.41999999999999998,0.44,0.41000000000000003,0.51000000000000001,0.40000000000000002,0.41999999999999998,0.35999999999999999,0.38
HH has 1 HE,0.46000000000000002,0.47999999999999998,0.53000000000000003,0.40000000000000002,0.53000000000000003,0.45000000000000001,0.48999999999999999,0.46000000000000002,0.39000000000000001,0.47000000000000003,0.47000000000000003,0.51000000000000001,0.46000000000000002
HH has 2 HE,0.11,0.089999999999999997,0.14999999999999999,0.080000000000000002,0.089999999999999997,0.12,0.050000000000000003,0.12,0.10000000000000001,0.10000000000000001,0.10000000000000001,0.12,0.14000000000000001
HH has 3 HE,0.01,0,0.02,0,0.01,0.01,0.01,0.01,0,0.02,0.01,0.01,0.01
HH has 4+ HE,0,0,0,0,0,0,0,0,0,0,0,0,0
HH has internet access,0,,0,,,0,0,0,,,0,,0
HH has non-agric enterprise owner,0.40000000000000002,0.25,0.64000000000000001,0.23999999999999999,0.5,0.38,0.38,0.41000000000000003,0.27000000000000002,0.37,0.40000000000000002,0.48999999999999999,0.5
HH owns a non-agric enterprise,0.58999999999999997,0.57999999999999996,0.70000000000000007,0.47999999999999998,0.63,0.57999999999999996,0.56000000000000005,0.58999999999999997,0.48999999999999999,0.59999999999999998,0.57999999999999996,0.64000000000000001,0.62
HH owns any livestock,0.65000000000000002,0.83999999999999997,0.34000000000000002,0.87,0.5,0.69000000000000006,0.58999999999999997,0.66000000000000003,0.83999999999999997,0.78000000000000003,0.67000000000000004,0.57000000000000006,0.40000000000000002
Has health insurance/coverage (couvmal),0,0,0.01,0,0,0,0,0,0,0,0,0,0.01
Housing & utilities burden (COICOP 4 share of total cons.),0.14000000000000001,0.13,0.16,0.13,0.16,0.14000000000000001,0.14999999999999999,0.14000000000000001,0.14999999999999999,0.14000000000000001,0.14000000000000001,0.14000000000000001,0.14999999999999999
Idiosyncratic economic shock,0.31,0.38,0.31,0.31,0.28000000000000003,0.31,0.28999999999999998,0.31,0.28000000000000003,0.32000000000000001,0.29999999999999999,0.31,0.32000000000000001
Improved lighting (grid or solar),0.31,0.02,0.63,0.02,0.5,0.26000000000000001,0.28000000000000003,0.32000000000000001,0.029999999999999999,0.13,0.20000000000000001,0.41000000000000003,0.66000000000000003
Informal electricity connection (neighbour/pole),0.02,0,0.040000000000000001,0,0.029999999999999999,0.02,0.01,0.02,0,0.01,0.02,0.050000000000000003,0.02
Main HE owner is female,0.62,0.53000000000000003,0.65000000000000002,0.57999999999999996,0.70000000000000007,0.59999999999999998,0.54000000000000004,0.64000000000000001,0.65000000000000002,0.67000000000000004,0.62,0.70999999999999996,0.52000000000000002
Main HE owner is married,0.35999999999999999,0.31,0.31,0.46000000000000002,0.059999999999999998,0.45000000000000001,0.29999999999999999,0.37,0.47000000000000003,0.45000000000000001,0.25,0.34000000000000002,0.35000000000000003
Market food share (% total cons.),0.27000000000000002,0.20999999999999999,0.29999999999999999,0.25,0.28999999999999998,0.27000000000000002,0.26000000000000001,0.27000000000000002,0.26000000000000001,0.26000000000000001,0.27000000000000002,0.28000000000000003,0.28000000000000003
Monthly electricity spend (FCFA),14608.700000000001,13524.08,14727.800000000001,8697.8899999999994,13225.639999999999,15299.65,11907.48,15015.43,2802.4099999999999,15434.52,12146.92,14634.030000000001,15426.35
Non-HH employees in HE,0.47999999999999998,0.17999999999999999,0.53000000000000003,0.38,0.070000000000000007,0.59999999999999998,0.35000000000000003,0.5,0.34000000000000002,0.52000000000000002,0.14999999999999999,1,0.32000000000000001
Non-food consumption share,0.58999999999999997,0.5,0.66000000000000003,0.54000000000000004,0.60999999999999999,0.57999999999999996,0.57999999999999996,0.58999999999999997,0.53000000000000003,0.56000000000000005,0.58999999999999997,0.60999999999999999,0.65000000000000002
