indicator,estimateDAKAR,estimateDIOURBEL,estimateFATICK,estimateKAFFRINE,estimateKAOLACK,estimateKEDOUGOU,estimateKOLDA,estimateLOUGA,estimateMATAM,estimateSAINT_LOUIS,estimateSEDHIOU,estimateTAMBACOUNDA,estimateTHIES,estimateZIGUINCHOR
Covariate economic shock,0.23999999999999999,0.68000000000000005,0.38,0.57999999999999996,0.47000000000000003,0.35999999999999999,0.34000000000000002,0.40000000000000002,0.46000000000000002,0.58999999999999997,0.35999999999999999,0.41999999999999998,0.27000000000000002,0.19
"Covariate natural shock (drought, flood, etc.)",0.080000000000000002,0.17000000000000001,0.20999999999999999,0.22,0.22,0.27000000000000002,0.33000000000000002,0.26000000000000001,0.39000000000000001,0.37,0.20999999999999999,0.22,0.17000000000000001,0.13
Covariate violence/conflict shock,0,0,0.01,0.01,0.01,0.059999999999999998,0.02,0.01,0.059999999999999998,0.02,0,0.02,0.01,0.01
Cultivated area (ha),0.42999999999999999,3.6200000000000001,3.4300000000000002,5.3799999999999999,3.98,1.9100000000000001,4.2800000000000002,5.1100000000000003,1.6400000000000001,2.1200000000000001,2.8399999999999999,4.0099999999999998,2.6800000000000002,0.95000000000000007
Durable floor materials,0.95999999999999996,0.79000000000000004,0.83999999999999997,0.58999999999999997,0.88,0.62,0.53000000000000003,0.72999999999999998,0.60999999999999999,0.69000000000000006,0.62,0.57000000000000006,0.91000000000000003,0.75
Durable roof materials,0.98999999999999999,0.93000000000000005,0.88,0.58999999999999997,0.91000000000000003,0.5,0.64000000000000001,0.79000000000000004,0.81000000000000005,0.83000000000000007,0.96999999999999997,0.62,0.95999999999999996,0.97999999999999998
Durable wall materials,0.98999999999999999,0.87,0.95999999999999996,0.82000000000000006,0.95000000000000007,0.87,0.93000000000000005,0.77000000000000002,0.79000000000000004,0.89000000000000001,0.89000000000000001,0.83000000000000007,0.92000000000000004,0.84999999999999998
"Employed (activ12m, 15–64)",0.56000000000000005,0.57000000000000006,0.64000000000000001,0.67000000000000004,0.55000000000000004,0.57000000000000006,0.64000000000000001,0.54000000000000004,0.54000000000000004,0.54000000000000004,0.65000000000000002,0.48999999999999999,0.60999999999999999,0.48999999999999999
Employed in agriculture (% of employed),0.029999999999999999,0.20999999999999999,0.5,0.70999999999999996,0.35999999999999999,0.47000000000000003,0.59999999999999998,0.39000000000000001,0.48999999999999999,0.42999999999999999,0.66000000000000003,0.57999999999999996,0.25,0.23999999999999999
Employed in industry (% of employed),0.22,0.20999999999999999,0.11,0.080000000000000002,0.16,0.25,0.10000000000000001,0.13,0.17000000000000001,0.14999999999999999,0.10000000000000001,0.13,0.17000000000000001,0.19
Employed in services (% of employed),0.75,0.57000000000000006,0.39000000000000001,0.20999999999999999,0.47999999999999998,0.28000000000000003,0.31,0.47999999999999998,0.34000000000000002,0.41999999999999998,0.25,0.28999999999999998,0.57999999999999996,0.57000000000000006
Energy expenditure burden (share of total cons.),0.20999999999999999,0.19,0.17999999999999999,0.17999999999999999,0.17999999999999999,0.17000000000000001,0.13,0.17999999999999999,0.14999999999999999,0.16,0.17000000000000001,0.17000000000000001,0.17999999999999999,0.20000000000000001
Exposed to any shock (past 3 years),0.47999999999999998,0.82000000000000006,0.57999999999999996,0.80000000000000004,0.70999999999999996,0.65000000000000002,0.76000000000000001,0.63,0.78000000000000003,0.80000000000000004,0.62,0.66000000000000003,0.57999999999999996,0.45000000000000001
