indicator,estimateTotal,estimateCapital,estimateOther_Urban,estimateRural,estimateFemale_HH,estimateMale_HH,estimateYouth_HH,estimateOlder_HH,estimateQ1,estimateQ2,estimateQ3,estimateQ4,estimateQ5
HH has 1 HE,0.52000000000000002,0.57000000000000006,0.51000000000000001,0.51000000000000001,0.55000000000000004,0.51000000000000001,0.73999999999999999,0.51000000000000001,0.54000000000000004,0.58999999999999997,0.46000000000000002,0.51000000000000001,0.48999999999999999
HH has 2 HE,0.050000000000000003,0,0.070000000000000007,0.070000000000000007,0.02,0.070000000000000007,0.050000000000000003,0.050000000000000003,0.029999999999999999,0.059999999999999998,0.070000000000000007,0.089999999999999997,0.02
HH has 3 HE,0.029999999999999999,0.01,0.01,0.029999999999999999,0.02,0.029999999999999999,0.02,0.029999999999999999,0.050000000000000003,0.01,0.02,0.02,0.02
HH has 4+ HE,0,0,0.01,0,0,0,0.029999999999999999,0,0,0,0.01,0,0
HH has internet access,0,0,0,0,0,0,0,0,0,0,0,0,0
HH has non-agric enterprise owner,0.62,0.70000000000000007,0.75,0.51000000000000001,0.68000000000000005,0.58999999999999997,0.56000000000000005,0.62,0.41000000000000003,0.59999999999999998,0.70000000000000007,0.71999999999999997,0.66000000000000003
HH owns a non-agric enterprise,0.59999999999999998,0.58999999999999997,0.58999999999999997,0.60999999999999999,0.58999999999999997,0.60999999999999999,0.83000000000000007,0.58999999999999997,0.63,0.66000000000000003,0.56000000000000005,0.63,0.53000000000000003
HH owns any livestock,0.57000000000000006,0.26000000000000001,0.46000000000000002,0.76000000000000001,0.41000000000000003,0.63,0.54000000000000004,0.57000000000000006,0.76000000000000001,0.66000000000000003,0.62,0.47999999999999998,0.34000000000000002
Has health insurance/coverage (couvmal),0.02,0.050000000000000003,0.01,0.01,0.02,0.02,0.01,0.029999999999999999,0,0,0.01,0.02,0.059999999999999998
Housing & utilities burden (COICOP 4 share of total cons.),0.17000000000000001,0.19,0.16,0.17000000000000001,0.17999999999999999,0.16,0.17000000000000001,0.17000000000000001,0.17000000000000001,0.17000000000000001,0.16,0.17000000000000001,0.17000000000000001
Idiosyncratic economic shock,0.16,0.11,0.16,0.17999999999999999,0.17999999999999999,0.14999999999999999,0.14999999999999999,0.16,0.12,0.19,0.20999999999999999,0.16,0.12
