indicator,estimateDakar,estimateKaolack_Fatick_Kaffrine,estimateKedougou,estimateSaint_Louis_Matam,estimateThies_Diourbel_Louga,estimateZiguinchor_Tamba_Kolda_S
HE age (years),10.9,10,11.390000000000001,6.7400000000000002,7.5800000000000001,8.3100000000000005
HE buys from firms/state,0.23000000000000001,0.17999999999999999,0.44,0.22,0.080000000000000002,0.28999999999999998
HE capital stock (FCFA),3072975.7200000002,1110337.54,90590.509999999995,805106.96999999997,182395.31,240283.81
HE costs (FCFA),100619.09,33511.270000000004,22897.760000000002,41752.230000000003,54250.130000000005,53130.669999999998
HE has any credit access,0.14000000000000001,0.35999999999999999,0.33000000000000002,0.22,0.46000000000000002,0.35999999999999999
HE has electricity,0.62,0.92000000000000004,0.83000000000000007,1,1,0.95000000000000007
HE has external (non-HH) employees,0.90000000000000002,0.97999999999999998,1,0.98999999999999999,0.96999999999999997,0.96999999999999997
HE has formal credit access,0,0.12,0.059999999999999998,0.080000000000000002,0.17999999999999999,0.050000000000000003
HE has formal premises,0.62,0.22,0.20999999999999999,0.10000000000000001,0.19,0.14999999999999999
HE has informal credit access,0.14000000000000001,0.28000000000000003,0.27000000000000002,0.16,0.29999999999999999,0.31
HE has phone,1,0.97999999999999998,1,1,1,0.98999999999999999
HE has tax ID,0.02,0.050000000000000003,0,0.070000000000000007,0.089999999999999997,0.14000000000000001
HE has water,0.33000000000000002,0.17999999999999999,0.23000000000000001,0.54000000000000004,0.20000000000000001,0.14000000000000001
HE keeps accounts,0.01,0.040000000000000001,0.080000000000000002,0.059999999999999998,0.029999999999999999,0.070000000000000007
HE operates from home,0.17999999999999999,0.47000000000000003,0.45000000000000001,0.44,0.38,0.38
HE pays rent,0.72999999999999998,0.84999999999999998,0.67000000000000004,0.80000000000000004,0.96999999999999997,0.69000000000000006
HE profits (FCFA),128498.37000000001,46594.599999999999,14124.389999999999,35992.020000000004,32041.130000000001,16695.450000000001
HE revenue per worker (FCFA),313096.07000000001,287113.58000000002,351000,1474007.6200000001,1155125.45,249344.35000000001
HE sells to firms/state,0,0.13,0.13,0.059999999999999998,0.080000000000000002,0.01
HH cultivates agricultural land (superf > 0),0.01,0.70000000000000007,0.62,0.46000000000000002,0.37,0.65000000000000002
HH employees in HE,0.27000000000000002,0.20000000000000001,0.029999999999999999,0.11,0.14000000000000001,0.17999999999999999
HH has 0 HE,0.41000000000000003,0.32000000000000001,0.20000000000000001,0.57000000000000006,0.37,0.41000000000000003
HH has 1 HE,0.57000000000000006,0.5,0.56000000000000005,0.37,0.57000000000000006,0.5
HH has 2 HE,0,0.13,0.20000000000000001,0.059999999999999998,0.040000000000000001,0.059999999999999998
HH has 3 HE,0.01,0.059999999999999998,0,0.01,0.02,0.029999999999999999
HH has 4+ HE,0,0,0.029999999999999999,0,0,0
HH has internet access,0,0,,0,0,0
HH has non-agric enterprise owner,0.70000000000000007,0.55000000000000004,0.41000000000000003,0.57999999999999996,0.70000000000000007,0.47000000000000003
HH owns a non-agric enterprise,0.58999999999999997,0.68000000000000005,0.80000000000000004,0.42999999999999999,0.63,0.58999999999999997
HH owns any livestock,0.26000000000000001,0.79000000000000004,0.47999999999999998,0.76000000000000001,0.58999999999999997,0.60999999999999999
Has health insurance/coverage (couvmal),0.050000000000000003,0.01,0.01,0.01,0.01,0.01
Housing & utilities burden (COICOP 4 share of total cons.),0.19,0.17000000000000001,0.16,0.14999999999999999,0.17000000000000001,0.16
Idiosyncratic economic shock,0.11,0.14999999999999999,0.080000000000000002,0.20999999999999999,0.20000000000000001,0.14000000000000001
Improved lighting (grid or solar),1,0.95000000000000007,0.96999999999999997,0.94000000000000006,0.96999999999999997,0.93000000000000005
Informal electricity connection (neighbour/pole),0.01,0.01,0,0.01,0,0.02
Main HE owner is female,0.35999999999999999,0.69000000000000006,0.85999999999999999,0.73999999999999999,0.70000000000000007,0.69000000000000006
Main HE owner is married,0.92000000000000004,0.79000000000000004,0.63,0.76000000000000001,0.64000000000000001,0.80000000000000004
Market food share (% total cons.),0.31,0.39000000000000001,0.32000000000000001,0.47999999999999998,0.41999999999999998,0.35999999999999999
Monthly electricity spend (FCFA),10796.67,10738.639999999999,10710.34,19199.689999999999,16220.880000000001,17442.330000000002
Non-HH employees in HE,1.0700000000000001,0.83000000000000007,0.17999999999999999,0.44,0.14999999999999999,0.38
Non-food consumption share,0.67000000000000004,0.51000000000000001,0.56000000000000005,0.47999999999999998,0.53000000000000003,0.51000000000000001
Non-wage employed (% of employed),0.5,0.83000000000000007,0.76000000000000001,0.76000000000000001,0.71999999999999997,0.79000000000000004
Number of employees in HE,1.8100000000000001,2.0699999999999998,0.35000000000000003,1.23,0.67000000000000004,0.70000000000000007
Number poor $3.00/day (millions),0.02,0.83999999999999997,0.070000000000000007,0.39000000000000001,0.69000000000000006,1.1100000000000001
Number poor $4.20/day (millions),0.13,1.6600000000000001,0.12,0.82000000000000006,1.79,2
Own-production food share (% total cons.),0,0.070000000000000007,0.089999999999999997,0.029999999999999999,0.02,0.089999999999999997
